PromptMe Activity Export
Exported: 11/7/2025, 1:03:33 AM
Activity Name: Sample
Objective: Design an object to think with that..
Theme: greenCRT
Background: green-crt
Prompt 1 Interests Mode: Yes
Criterion Labels: sport, entertainment, academic, creative

Category,USES,AND IS
Furniture,cat5 cable,studious
Furniture,wooden slats from window blinds,comforting
Furniture,wood scraps,inspiring
Furniture,plastic bottles,multi-functional
textiles,windsurfing sails,reflective
textiles,old jeans,empathetic
textiles,cat5 cable,collaborative
textiles,plastic strapping,organized
electronics,button from old electronics,humorous
electronics,cat5 cable,helpful
electronics,LED from a toy,expressive
